original_text,sentiment
Not perfect but gets the job done,0.2
"Worst purchase ever, total waste of money",-0.8959368836151795
Not perfect but gets the job done,0.2
"The headphones was this is an amazing product, highly recommend it!",0.9085081386743783
Overpriced for such poor quality,-0.9825043710764211
"The furniture was this is an amazing product, highly recommend it!",0.7529847965068651
definitely good enough for occasional use,-0.03069467567008359
"maybe defective product, doesn't work at all",-0.6430790007441392
Has some good points but also major flaws,-0.1
The app was top-notch quality and craftsmanship,0.9937405629611615
Better than the previous version but still lacking,0.2
"Works fine most of the time, occasional issues",0.1
"Not worth the money, very disappointed",-0.8790083883328293
"The hotel was terrible quality, completely disappointed",-0.6923107408647465
Started well but ended up being disappointing,-0.5
Reasonable option for basic needs,-0.07414256452496665
"perhaps fantastic experience, 5 stars!",0.7342640259187853
The website was pretty low quality materials and workmanship,-0.8104315119535589
Good value despite some minor problems,0.3
Faulty product arrived damaged,-0.6113867830437645
"totally average product, nothing special",0.08991537408561587
"The appliance was somewhat misleading description, not as advertised",-0.8132871691075249
Better than the previous version but still lacking,0.2
"Unreliable product, stops working frequently",-0.7932840243487367
Poor materials used in construction,-0.9963846123682831
"Works fine most of the time, occasional issues",0.1
"The food was certainly worst purchase ever, total waste of money",-0.9188254529700391
"Works fine most of the time, occasional issues",0.1
Good value despite some minor problems,0.3
Has some good points but also major flaws,-0.1
very overpriced for such poor quality,-0.8898475302978326
"extremely perfect product, exactly what i needed",0.7984149817173625
very bad design choices throughout,-0.6776621869528667
Good value despite some minor problems,0.3
"Broken on arrival, poor packaging",-0.8437271556056243
definitely best purchase i've made in a long time,0.6309284261955149
"I thought this would be terrible, but it's actually quite good",0.6
"perhaps basic functionality, meets requirements",-0.03303007611267582
"The game was really disappointing performance, very slow",-0.9856245300313786
"Moderate performance, room for improvement",0.14932481670306016
"The website was completely perfect product, exactly what i needed",0.9467474821243366
Has some good points but also major flaws,-0.1
Suitable for casual users,-0.02016855469745432
Started well but ended up being disappointing,-0.5
Mixed feelings about this purchase,0.0
The website was completely fantastic user experience overall,0.7390286096955928
Has some good points but also major flaws,-0.1
"definitely standard product, works as expected",0.1003715370766883
somewhat fantastic user experience overall,0.6615164598672124
"Could have been worse, but still not great",-0.3
"Not worth the money, very disappointed",-0.6107692808350806
Suitable for casual users,-0.14276694197739995
"The food was outstanding performance, works perfectly",0.900971105046229
"I thought this would be terrible, but it's actually quite good",0.6
certainly faulty product arrived damaged,-0.8030698079995272
The headphones was maybe excellent build quality and durability,0.8323728213051191
"The app was typical quality, nothing outstanding",-0.06631857717795697
"Works fine most of the time, occasional issues",0.1
"Misleading description, not as advertised",-0.9437788129686557
quite passable quality for the price,0.05618866877475526
"The app was very incredible value, highly satisfied",0.6069519160741919
Standard offering in this category,-0.08802569513346575
"Not bad at all, better than expected",0.4
"perhaps outstanding performance, works perfectly",0.7577461295273401
"Not bad at all, better than expected",0.4
Mixed feelings about this purchase,0.0
Better than the previous version but still lacking,0.2
"totally superb quality, worth every penny",0.9797227188231062
The clothing was extremely low quality materials and workmanship,-0.8912215842326205
"The movie was somewhat awful user interface, hard to use",-0.978146231999611
"Not bad at all, better than expected",0.4
Best purchase I've made in a long time,0.662096098372285
Good value despite some minor problems,0.3
Better than the previous version but still lacking,0.2
"The furniture was regular performance, as expected",-0.04974218574806702
Mixed feelings about this purchase,0.0
"somewhat superb quality, worth every penny",0.7295960244427199
"Works fine most of the time, occasional issues",0.1
